"","P","A"
"245",17,15.6514999088319
"246",20,16.7451821353614
"247",20,19.4364320263716
"248",22,18.1921477015451
"249",31,20.7927571240206
"250",22,27.4193348567111
"251",24,23.4854553409751
"252",30,25.5260768595636
"253",49,37.0801479717535
"254",51,50.12476494689
"255",35,47.763556360394
"256",32,28.7736231491331
"257",24,29.1612273454661
"258",29,24.5956268457693
"259",19,26.3142260330709
"260",19,19.606794732077
"261",23,19.4976719400404
"262",18,20.8640747781749
"263",9,18.2426836119447
"264",13,18.2830401996579
"265",25,18.8973357906876
"266",23,26.3211035788418
"267",25,27.2454795950195
"268",57,29.9283280782139
"269",41,53.6525991258707
"270",43,45.4996923695318
"271",49,44.1364194412424
"272",60,51.355070547556
"273",60,60.4636597744344
"274",54,59.6081015677593
"275",46,51.3925684613163
"276",38,44.938547665346
"277",40,41.9420242566508
"278",40,44.7377246148571
"279",36,41.2322787207241
"280",26,27.7693820743256
"281",16,21.9571915062299
"282",20,17.5137408770135
"283",21,20.1401847698183
"284",10,17.4953958154448
"285",8,10.0285353912422
"286",2,7.33947705694593
"287",1,4.0783632846823
"288",10,4.94018076536816
"289",11,14.9412715491281
"290",19,21.3042279465365
"291",31,27.4754760509609
"292",40,43.7510615950142
"293",26,47.6366044513344
"294",29,37.8106734084908
"295",41,31.7443964434826
"296",57,40.508876146864
"297",63,53.9910400853969
"298",48,59.0476592053956
"299",33,45.5067713513626
"300",32,36.2830781090358
"301",30,33.9676048604077
"302",32,36.4431901267738
"303",24,31.0777646418819
"304",33,17.7273898613088
"305",16,28.0606269852328
"306",6,15.3950718169985
"307",11,7.91000845226991
"308",10,10.4571660611615
"309",9,9.11908917704041
"310",9,9.00561314656614
"311",5,7.3228570688283
"312",5,5.84502927772485
"313",15,10.1630901604862
"314",10,19.0940042762255
"315",13,15.5235138904742
"316",15,19.1873738753682
"317",19,20.0579063087817
"318",17,24.0841782141011
"319",20,18.6523360071753
"320",17,17.7075168376971
"321",19,20.5603418898452
"322",18,21.4174870798132
"323",24,25.5104405485721
"324",27,27.9258257769676
"325",43,38.4458564571105
"326",76,54.0835609303141
"327",53,69.643345078069
"328",37,42.0685457429423
"329",23,28.8872777627722
"330",18,16.4944661893225
"331",23,15.3118138398809
"332",19,18.6445689857184
"333",14,16.1060150322711
"334",16,10.9739394046818
"335",21,12.4020644054029
"336",21,17.8636647645102
"337",23,21.0993948628096
"338",28,29.2450933810573
"339",36,30.170608628903
"340",34,35.7061332521689
"341",22,34.3362315025134
"342",23,21.9222027023058
"343",29,23.7173326973625
"344",34,26.6823570094385
"345",28,31.6163160237063
"346",22,30.6619635279605
"347",27,25.567264096778
"348",37,31.1980305414289
"349",51,45.5902058099041
"350",80,64.4318357026714
"351",56,72.571594579677
"352",37,39.6628270103215
"353",29,27.5164936802089
"354",22,24.2587877683769
"355",17,20.668893522007
"356",25,15.8802029040262
"357",13,19.5188089236093
"358",23,14.4590737162325
"359",28,17.9463689534371
"360",28,23.0579938631908
"361",21,23.2461128356867
"362",20,21.7343203614813
"363",17,19.3961594073781
"364",13,16.0072283521465
"365",9,13.6230873991136
"366",11,12.6553356275481
"367",9,15.1313483291884
"368",11,12.8637691538435
"369",8,14.7749479291614
"370",9,9.65277535071438
"371",16,15.1079908346348
"372",21,18.751743700782
"373",23,28.8573938816155
"374",27,31.8421136661277
"375",41,30.0258370905324
"376",42,34.8832185477089
"377",38,36.8635609508945
"378",38,30.0069684763257
"379",26,28.0540003364704
"380",24,27.0641104365882
"381",26,20.3034024106712
"382",19,21.0341260502996
"383",15,15.2228213884801
"384",16,14.6750985649018
"385",14,14.7157775843659
"386",15,14.8131642340017
"387",17,14.8083555680273
"388",18,16.1770651445747
"389",18,16.4705517641601
"390",25,19.1145709623949
"391",27,23.8329812167357
"392",27,23.5115034667254
"393",28,24.5115131059741
"394",27,26.1941650861493
"395",28,27.4519719089128
"396",33,29.7088834283618
"397",51,36.4424202382822
"398",50,51.5996475126388
"399",51,48.1245291814304
"400",38,41.7235782820418
"401",38,35.6295389113302
"402",30,35.6673936569112
"403",31,28.0212827935406
"404",32,32.478403560784
"405",32,32.1067259603404
"406",8,29.6581133248164
"407",26,11.9833990883527
"408",32,19.7224870872627
"409",21,32.0622848233053
"410",13,29.8172387413965
"411",25,21.0063850549867
"412",35,32.694610008904
"413",70,43.2867750964379
"414",70,64.8520643444774
"415",60,70.2457303881232
"416",47,55.318904591036
"417",37,44.0233747155435
"418",35,36.6696962451466
"419",36,35.752381552236
"420",39,38.0778574284787
"421",34,42.4188864714265
"422",40,40.5846484748366
"423",58,42.4257408461752
"424",49,51.2707006132249
"425",33,40.6017423616123
"426",26,29.4518715548784
"427",24,26.6627391652166
"428",5,24.6689418985404
"429",6,13.1744843933798
"430",7,6.76455373107772
"431",3,10.0720614853851
"432",39,11.2074522656054
"433",16,37.0189018404696
"434",23,31.3205222919634
"435",20,42.3837543940529
"436",25,35.7185705482281
"437",31,34.0781217560666
"438",38,38.2364798183983
"439",38,36.8180360231378
"440",34,38.8910001432158
"441",46,35.5145057296981
"442",56,43.8723858197221
"443",38,53.9271470839466
"444",29,37.2051419220591
"445",34,30.2797695775941
"446",35,37.8331326113886
"447",34,40.3486398861463
"448",31,25.4123372427432
"449",19,27.1743652639961
"450",15,20.2293864066242
"451",16,16.2275059284465
"452",16,15.8467242878453
"453",7,13.0304424200962
"454",9,6.61229364867116
"455",7,8.63318848975603
"456",21,9.02735689020593
"457",21,24.9080171295331
"458",36,27.9924585769576
"459",31,42.250915465791
"460",55,44.7048478742595
"461",64,62.5744758713934
"462",63,65.8329392946508
"463",64,60.4819410402916
"464",43,61.6210271081493
"465",29,45.1577754655257
"466",19,32.822847022389
"467",23,23.073446958371
"468",26,27.5631678629845
"469",25,31.3934309745589
"470",25,32.9101247652793
"471",31,26.1744475021339
"472",21,25.7471213569516
"473",19,16.8361790512725
"474",15,16.1806206887208
"475",9,15.4923536098466
"476",10,9.81041363837927
"477",10,7.83147960202445
"478",10,7.35356619518021
"479",13,9.72927043102931
"480",12,12.5257275086188
"481",13,17.034734538786
"482",13,14.4390759739086
"483",13,19.2649254212254
"484",13,19.1640062668
"485",16,18.9745736825292
"486",16,16.0810195782481
"487",19,21.2455534600757
"488",20,19.3208023012455
"489",20,20.7920257237233
