"","P","A"
"385",14,12.9131930824965
"386",15,13.8270308148903
"387",17,13.7194926045707
"388",18,15.5867172299437
"389",18,15.5368387804767
"390",25,17.1887268418843
"391",27,30.4942829105852
"392",27,29.4096621742488
"393",28,28.4335982517566
"394",27,28.5231935955466
"395",28,30.3949096438755
"396",33,35.6976738707258
"397",51,43.834213912715
"398",50,48.8402282507602
"399",51,43.7080707276475
"400",38,39.8116848519595
"401",38,32.5940754510483
"402",30,31.7443645376551
"403",31,27.4387038032633
"404",32,28.9512309499803
"405",32,32.1617020897141
"406",8,32.685171081488
"407",26,15.7524102158337
"408",32,28.5703626779344
"409",21,32.9272963801991
"410",13,28.0326120148927
"411",25,22.7762846257132
"412",35,33.779699123247
"413",70,42.5941447146328
"414",70,67.0453656936943
"415",60,62.5438221819638
"416",47,51.025544461927
"417",37,41.3630139552452
"418",35,34.9778493218757
"419",36,35.0943169853129
"420",39,39.4524931327349
"421",34,51.3005185300309
"422",40,42.0146168878235
"423",58,39.2086535410062
"424",49,39.4424163140343
"425",33,36.4334813933233
"426",26,26.8284047395005
"427",24,22.2159996924981
"428",5,21.1688030968285
"429",6,15.6816411846671
"430",7,12.6914875527934
"431",3,13.4642428710139
"432",39,17.5668782815174
"433",16,39.2815995660724
"434",23,33.2915816290332
"435",20,42.7923903454631
"436",25,38.1361151052926
"437",31,37.76170493079
"438",38,36.2524722332173
"439",38,40.7689748750621
"440",34,40.0911229927931
"441",46,35.4445205052412
"442",56,43.0729355683775
"443",38,48.9085362326019
"444",29,41.6746690973671
"445",34,37.7252265163863
"446",35,40.3680670971399
"447",34,39.055719220766
"448",31,25.2861189490685
"449",19,23.5871830179194
"450",15,16.1565484406377
"451",16,12.0374857993371
"452",16,17.1314902509377
"453",7,12.6774854487186
"454",9,9.38404461854615
"455",7,12.6896804841929
"456",21,10.9924895685371
"457",21,25.4942704137276
"458",36,26.01102908728
"459",31,39.6541422981629
"460",55,43.512029195362
"461",64,60.1147213121559
"462",63,66.6201182929362
"463",64,60.1069985696395
"464",43,55.5138299337174
"465",29,37.7594667567729
"466",19,30.9260483065852
"467",23,24.7838440263008
