"","P","A"
"249",31,24.0887346038919
"250",22,32.9445428055908
"251",24,25.2268299325222
"252",30,24.9616454128532
"253",49,24.9919023678081
"254",51,49.1447151240825
"255",35,24.9957203125341
"256",32,30.7789808964967
"257",24,25.5774817729084
"258",29,19.4285769668673
"259",19,25.8194660065504
"260",19,17.0247764123336
"261",23,18.0900432413369
"262",18,20.4778354806075
"263",9,17.0431181551774
"264",13,16.6139577493117
"265",25,20.6699447442609
"266",23,22.9101458894604
"267",25,27.2946349183283
"268",57,31.5673037739289
"269",41,52.9049303145526
"270",43,43.7662665486382
"271",49,46.440584273788
"272",60,25.0049120962272
"273",60,56.0684560104247
"274",54,52.1165818626127
"275",46,50.2853013621677
"276",38,47.6151659809827
"277",40,48.0196987412238
"278",40,45.2579540287561
"279",36,43.7481973269926
"280",26,27.2757266093105
"281",16,22.4984654474494
"282",20,20.6896161421797
"283",21,21.5537827189041
"284",10,18.1686691316539
"285",8,12.535057541683
"286",2,11.8994993417663
"287",1,9.96163918354697
"288",10,9.99940769958568
"289",11,16.1796666502175
"290",19,19.1326938255225
"291",31,24.3086849601835
"292",40,40.3861280690002
"293",26,49.934205723743
"294",29,43.4290592070184
"295",41,39.7610919131474
"296",57,45.9424474573371
"297",63,49.9281915152272
"298",48,50.299738738894
"299",33,39.4263080117355
"300",32,35.3768097355136
"301",30,39.2097746724263
"302",32,38.4469433766933
"303",24,33.9476234904063
"304",33,19.4556982974166
"305",16,23.8631570470156
"306",6,16.5073958091475
"307",11,12.806168075817
"308",10,13.3859266448123
"309",9,11.0290178304336
"310",9,14.5745347678521
"311",5,9.77338671693341
"312",5,6.02284488458288
"313",15,12.4728487350564
"314",10,18.2837500647374
"315",13,18.9794675221603
"316",15,24.0614495534118
"317",19,24.8781702067739
"318",17,23.2026175564173
"319",20,18.9420649657473
"320",17,21.2252454277964
"321",19,22.4911914029945
"322",18,22.3902325534886
"323",24,20.2212207564738
"324",27,28.542221568297
"325",43,32.0934094322394
"326",76,43.3012561341062
"327",53,47.1751891706966
"328",37,34.6763488137791
"329",23,22.9424358280411
"330",18,15.4942596072723
"331",23,16.6924099383307
"332",19,18.6259685355429
"333",14,18.1644573650861
"334",16,25.0347328364738
"335",21,14.2471462306307
"336",21,19.2987293182161
"337",23,23.2349364680577
"338",28,28.1740602299761
"339",36,32.0742741228805
"340",34,37.2812583422676
"341",22,34.5821065683758
"342",23,24.3294966145032
"343",29,24.0724314268837
"344",34,27.7259472824513
"345",28,31.5263164281933
"346",22,25.0449478906394
"347",27,27.5146001032642
"348",37,25.0462535744774
"349",51,43.3848207786782
"350",80,59.2301988214721
"351",56,54.5076457133959
"352",37,38.663972125152
"353",29,32.627381544525
"354",22,22.0432171156079
"355",17,22.2742005922177
"356",25,25.0594640195141
"357",13,20.7232681144961
"358",23,16.5171192028345
"359",28,22.4104956726408
"360",28,25.2105387515318
"361",21,22.0438960713725
"362",20,20.126970514696
"363",17,18.8990945396891
"364",13,15.4788375969757
"365",9,11.4130032861332
"366",11,12.3653796675105
"367",9,13.3772944715925
"368",11,11.8532482783385
"369",8,8.64223969131969
"370",9,8.19731112083317
"371",16,11.4992778785197
"372",21,19.6959164929079
"373",23,22.7313015031923
"374",27,28.4437798310191
"375",41,33.8861374950179
"376",42,38.6797439374166
"377",38,34.1540221156314
"378",38,29.7212691124034
"379",26,27.6909375849506
"380",24,23.0619718752858
"381",26,22.2905731442181
"382",19,21.9909464961572
"383",15,16.480155819088
"384",16,15.0926970093107
"385",14,15.9684048823116
"386",15,25.0803037532346
"387",17,15.9211024447146
"388",18,15.2272629399051
"389",18,15.9723162809235
"390",25,18.6422911898919
"391",27,23.3510956596777
"392",27,26.7013497233249
"393",28,27.2105352062047
"394",27,28.4304732673496
"395",28,28.4274453664695
"396",33,34.000310955451
"397",51,39.6018169418249
"398",50,50.7114444268475
"399",51,54.6460256750809
"400",38,44.5195804503552
"401",38,25.0927205478921
